Sat_Name,Country,Country_of_Operator,Owner,Users,Purpose,Class_Of _Orbit,Type_Of_Orbit,Perigee_in_km,Apogee_in_km,Date_Of_Launch,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,SatID,Comments
OneWeb-0638                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029G,55802,No Comments
OneWeb-0639                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029H,55803,No Comments
OneWeb-0640                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029J,55804,No Comments
OneWeb-0641                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029K,55805,No Comments
OneWeb-0642                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029L,55806,No Comments
OneWeb-0643                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029M,55807,No Comments
OneWeb-0644                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029N,55808,No Comments
OneWeb-0645                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029P,55809,No Comments
OneWeb-0646                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029Q,55810,No Comments
OneWeb-0647                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AK,56079,No Comments
OneWeb-0648                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029R,55811,No Comments
OneWeb-0649                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029S,55812,No Comments
OneWeb-0650                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029T,55813,No Comments
OneWeb-0651                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AL,56080,No Comments
OneWeb-0652                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029U,55814,No Comments
OneWeb-0653                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029V,55815,No Comments
OneWeb-0654                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,977,982,09/03/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-029W,55816,No Comments
